"layout.xaxis.categoryarray","data.1.x","data.1.y","data.2.x","data.2.y","data.3.x","data.3.y","data.4.x","data.4.y","layout.xaxis.categoryarray-32e81dd84dad","data.1.x-32e8255bbc6","data.1.y-32e831fb726c","data.2.x-32e819326279","data.2.y-32e865021b5e","data.3.x-32e85ddde06","data.3.y-32e810a337a2","data.4.x-32e819d64c20","data.4.y-32e8736751f"
"AMC Javelin","Mazda RX4","2.62","Mazda RX4","21","Mazda RX4","16.46","Mazda RX4","110","AMC Javelin","Mazda RX4","2.62","Mazda RX4","21","Mazda RX4","16.46","Mazda RX4","110"
"Cadillac Fleetwood","Mazda RX4 Wag","2.875","Mazda RX4 Wag","21","Mazda RX4 Wag","17.02","Mazda RX4 Wag","110","Cadillac Fleetwood","Mazda RX4 Wag","2.875","Mazda RX4 Wag","21","Mazda RX4 Wag","17.02","Mazda RX4 Wag","110"
"Camaro Z28","Datsun 710","2.32","Datsun 710","22.8","Datsun 710","18.61","Datsun 710","93","Camaro Z28","Datsun 710","2.32","Datsun 710","22.8","Datsun 710","18.61","Datsun 710","93"
"Chrysler Imperial","Hornet 4 Drive","3.215","Hornet 4 Drive","21.4","Hornet 4 Drive","19.44","Hornet 4 Drive","110","Chrysler Imperial","Hornet 4 Drive","3.215","Hornet 4 Drive","21.4","Hornet 4 Drive","19.44","Hornet 4 Drive","110"
"Datsun 710","Hornet Sportabout","3.44","Hornet Sportabout","18.7","Hornet Sportabout","17.02","Hornet Sportabout","175","Datsun 710","Hornet Sportabout","3.44","Hornet Sportabout","18.7","Hornet Sportabout","17.02","Hornet Sportabout","175"
"Dodge Challenger","Valiant","3.46","Valiant","18.1","Valiant","20.22","Valiant","105","Dodge Challenger","Valiant","3.46","Valiant","18.1","Valiant","20.22","Valiant","105"
"Duster 360","Duster 360","3.57","Duster 360","14.3","Duster 360","15.84","Duster 360","245","Duster 360","Duster 360","3.57","Duster 360","14.3","Duster 360","15.84","Duster 360","245"
"Ferrari Dino","Merc 240D","3.19","Merc 240D","24.4","Merc 240D","20","Merc 240D","62","Ferrari Dino","Merc 240D","3.19","Merc 240D","24.4","Merc 240D","20","Merc 240D","62"
"Fiat 128","Merc 230","3.15","Merc 230","22.8","Merc 230","22.9","Merc 230","95","Fiat 128","Merc 230","3.15","Merc 230","22.8","Merc 230","22.9","Merc 230","95"
"Fiat X1-9","Merc 280","3.44","Merc 280","19.2","Merc 280","18.3","Merc 280","123","Fiat X1-9","Merc 280","3.44","Merc 280","19.2","Merc 280","18.3","Merc 280","123"
"Ford Pantera L","Merc 280C","3.44","Merc 280C","17.8","Merc 280C","18.9","Merc 280C","123","Ford Pantera L","Merc 280C","3.44","Merc 280C","17.8","Merc 280C","18.9","Merc 280C","123"
"Honda Civic","Merc 450SE","4.07","Merc 450SE","16.4","Merc 450SE","17.4","Merc 450SE","180","Honda Civic","Merc 450SE","4.07","Merc 450SE","16.4","Merc 450SE","17.4","Merc 450SE","180"
"Hornet 4 Drive","Merc 450SL","3.73","Merc 450SL","17.3","Merc 450SL","17.6","Merc 450SL","180","Hornet 4 Drive","Merc 450SL","3.73","Merc 450SL","17.3","Merc 450SL","17.6","Merc 450SL","180"
"Hornet Sportabout","Merc 450SLC","3.78","Merc 450SLC","15.2","Merc 450SLC","18","Merc 450SLC","180","Hornet Sportabout","Merc 450SLC","3.78","Merc 450SLC","15.2","Merc 450SLC","18","Merc 450SLC","180"
"Lincoln Continental","Cadillac Fleetwood","5.25","Cadillac Fleetwood","10.4","Cadillac Fleetwood","17.98","Cadillac Fleetwood","205","Lincoln Continental","Cadillac Fleetwood","5.25","Cadillac Fleetwood","10.4","Cadillac Fleetwood","17.98","Cadillac Fleetwood","205"
"Lotus Europa","Lincoln Continental","5.424","Lincoln Continental","10.4","Lincoln Continental","17.82","Lincoln Continental","215","Lotus Europa","Lincoln Continental","5.424","Lincoln Continental","10.4","Lincoln Continental","17.82","Lincoln Continental","215"
"Maserati Bora","Chrysler Imperial","5.345","Chrysler Imperial","14.7","Chrysler Imperial","17.42","Chrysler Imperial","230","Maserati Bora","Chrysler Imperial","5.345","Chrysler Imperial","14.7","Chrysler Imperial","17.42","Chrysler Imperial","230"
"Mazda RX4","Fiat 128","2.2","Fiat 128","32.4","Fiat 128","19.47","Fiat 128","66","Mazda RX4","Fiat 128","2.2","Fiat 128","32.4","Fiat 128","19.47","Fiat 128","66"
"Mazda RX4 Wag","Honda Civic","1.615","Honda Civic","30.4","Honda Civic","18.52","Honda Civic","52","Mazda RX4 Wag","Honda Civic","1.615","Honda Civic","30.4","Honda Civic","18.52","Honda Civic","52"
